stock,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
A,2025-04-30,2025-05-28,1.31,1.26,0.05,3.9683
A,2025-01-31,2025-02-26,1.31,1.27,0.04,3.1496
A,2024-10-31,2024-11-25,1.46,1.41,0.05,3.5461
A,2024-07-31,2024-08-21,1.32,1.26,0.06,4.7619
A,2024-04-30,2024-05-29,1.22,1.19,0.03,2.521
A,2024-01-31,2024-02-27,1.29,1.22,0.07,5.7377
A,2023-10-31,2023-11-20,1.38,1.34,0.04,2.9851
A,2023-07-31,2023-08-15,1.43,1.36,0.07,5.1471
A,2023-04-30,2023-05-23,1.27,1.26,0.01,0.7937
A,2023-01-31,2023-02-28,1.37,1.3,0.07,5.3846
A,2022-10-31,2022-11-21,1.53,1.39,0.14,10.0719
A,2022-07-31,2022-08-16,1.34,1.2,0.14,11.6667
A,2022-04-30,2022-05-24,1.13,1.12,0.01,0.8929
A,2022-01-31,2022-02-22,1.21,1.18,0.03,2.5424
A,2021-10-31,2021-11-22,1.21,1.17,0.04,3.4188
A,2021-07-31,2021-08-17,1.1,0.99,0.11,11.1111
A,2021-04-30,2021-05-25,0.97,0.83,0.14,16.8675
A,2021-01-31,2021-02-16,1.06,0.89,0.17,19.1011
A,2020-10-31,2020-11-23,0.98,0.93,0.05,5.3763
A,2020-07-31,2020-08-18,0.78,0.66,0.12,18.1818
A,2020-04-30,2020-05-21,0.71,0.61,0.1,16.3934
A,2020-01-31,2020-02-18,0.81,0.81,0,0
AAPL,2025-03-31,2025-05-01,1.65,1.62,0.03,1.8519
AAPL,2024-12-31,2025-01-30,2.4,2.34,0.06,2.5641
AAPL,2024-09-30,2024-10-31,0.97,0.95,0.02,2.1053
AAPL,2024-06-30,2024-08-01,1.4,1.34,0.06,4.4776
AAPL,2024-03-31,2024-05-02,1.53,1.5,0.03,2
AAPL,2023-12-31,2024-02-01,2.18,2.11,0.07,3.3175
AAPL,2023-09-30,2023-11-02,1.46,1.39,0.07,5.036
AAPL,2023-06-30,2023-08-03,1.26,1.19,0.07,5.8824
AAPL,2023-03-31,2023-05-04,1.52,1.43,0.09,6.2937
AAPL,2022-12-31,2023-02-02,1.88,1.95,-0.07,-3.5897
AAPL,2022-09-30,2022-10-27,1.29,1.27,0.02,1.5748
AAPL,2022-06-30,2022-07-28,1.2,1.15,0.05,4.3478
AAPL,2022-03-31,2022-04-28,1.52,1.43,0.09,6.2937
AAPL,2021-12-31,2022-01-27,2.1,1.89,0.21,11.1111
AAPL,2021-09-30,2021-10-28,1.24,1.24,0,0
AAPL,2021-06-30,2021-07-27,1.3,1.01,0.29,28.7129
AAPL,2021-03-31,2021-04-28,1.4,0.98,0.42,42.8571
AAPL,2020-12-31,2021-01-27,1.68,1.42,0.26,18.3099
AAPL,2020-09-30,2020-10-29,0.73,0.7,0.03,4.2857
AAPL,2020-06-30,2020-07-30,0.65,0.51,0.14,27.451
AAPL,2020-03-31,2020-04-30,0.64,0.56,0.08,14.2857
AAPL,2019-12-31,2020-01-28,1.25,1.14,0.11,9.6491
ABBV,2025-03-31,2025-04-25,2.46,2.4,0.06,2.5
ABBV,2024-12-31,2025-01-31,2.16,2.12,0.04,1.8868
ABBV,2024-09-30,2024-10-30,3,2.92,0.08,2.7397
ABBV,2024-06-30,2024-07-25,2.65,2.57,0.08,3.1128
ABBV,2024-03-31,2024-04-26,2.31,2.23,0.08,3.5874
ABBV,2023-12-31,2024-02-02,2.79,2.77,0.02,0.722
ABBV,2023-09-30,2023-10-27,2.95,2.86,0.09,3.1469
ABBV,2023-06-30,2023-07-27,2.91,2.81,0.1,3.5587
ABBV,2023-03-31,2023-04-27,2.46,2.46,0,0
ABBV,2022-12-31,2023-02-09,3.6,3.56,0.04,1.1236
ABBV,2022-09-30,2022-10-28,3.66,3.57,0.09,2.521
ABBV,2022-06-30,2022-07-29,3.37,3.31,0.06,1.8127
ABBV,2022-03-31,2022-04-29,3.24,3.14,0.1,3.1847
ABBV,2021-12-31,2022-02-02,3.31,3.29,0.02,0.6079
ABBV,2021-09-30,2021-10-29,3.33,3.22,0.11,3.4161
ABBV,2021-06-30,2021-07-30,3.09,3.09,0,0
ABBV,2021-03-31,2021-04-30,2.95,2.83,0.12,4.2403
ABBV,2020-12-31,2021-02-03,2.92,2.85,0.07,2.4561
ABBV,2020-09-30,2020-10-30,2.83,2.77,0.06,2.1661
ABBV,2020-06-30,2020-07-31,2.34,2.19,0.15,6.8493
ABBV,2020-03-31,2020-05-01,2.42,2.25,0.17,7.5556
ABBV,2019-12-31,2020-02-07,2.21,2.19,0.02,0.9132
ABT,2025-03-31,2025-04-16,0.76,0.78,-0.02,-2.5641
ABT,2024-12-31,2025-01-22,1.34,1.34,0,0
ABT,2024-09-30,2024-10-16,1.21,1.2,0.01,0.8333
ABT,2024-06-30,2024-07-18,1.14,1.1,0.04,3.6364
ABT,2024-03-31,2024-04-17,0.98,0.95,0.03,3.1579
ABT,2023-12-31,2024-01-24,1.19,1.19,0,0
ABT,2023-09-30,2023-10-18,1.14,1.1,0.04,3.6364
ABT,2023-06-30,2023-07-20,1.08,1.05,0.03,2.8571
ABT,2023-03-31,2023-04-19,1.03,0.99,0.04,4.0404
ABT,2022-12-31,2023-01-25,1.03,0.94,0.09,9.5745
ABT,2022-09-30,2022-10-19,1.15,0.94,0.21,22.3404
ABT,2022-06-30,2022-07-20,1.43,1.14,0.29,25.4386
ABT,2022-03-31,2022-04-20,1.73,1.46,0.27,18.4932
ABT,2021-12-31,2022-01-26,1.32,1.21,0.11,9.0909
ABT,2021-09-30,2021-10-20,1.4,0.95,0.45,47.3684
ABT,2021-06-30,2021-07-22,1.17,1.02,0.15,14.7059
ABT,2021-03-31,2021-04-20,1.32,1.27,0.05,3.937
ABT,2020-12-31,2021-01-27,1.45,1.35,0.1,7.4074
ABT,2020-09-30,2020-10-21,0.98,0.91,0.07,7.6923
ABT,2020-06-30,2020-07-16,0.57,0.42,0.15,35.7143
ABT,2020-03-31,2020-04-16,0.65,0.61,0.04,6.5574
ABT,2019-12-31,2020-01-22,0.95,0.95,0,0
ACGL,2025-03-31,2025-04-29,1.54,1.31,0.23,17.5573
ACGL,2024-12-31,2025-02-10,2.42,1.93,0.49,25.3886
ACGL,2024-09-30,2024-10-30,1.99,1.95,0.04,2.0513
ACGL,2024-06-30,2024-07-30,2.57,2.21,0.36,16.2896
ACGL,2024-03-31,2024-04-29,2.45,2.1,0.35,16.6667
ACGL,2023-12-31,2024-02-14,2.49,2.03,0.46,22.6601
ACGL,2023-09-30,2023-10-30,2.31,1.61,0.7,43.4783
ACGL,2023-06-30,2023-07-26,1.92,1.58,0.34,21.519
ACGL,2023-03-31,2023-04-26,1.73,1.45,0.28,19.3103
ACGL,2022-12-31,2023-02-13,2.14,1.34,0.8,59.7015
ACGL,2022-09-30,2022-10-26,0.28,0.17,0.11,64.7059
ACGL,2022-06-30,2022-07-27,1.34,1.09,0.25,22.9358
ACGL,2022-03-31,2022-04-27,1.1,1.06,0.04,3.7736
ACGL,2021-12-31,2022-02-09,1.27,1,0.27,27
ACGL,2021-09-30,2021-10-27,0.74,0.36,0.38,105.5556
ACGL,2021-06-30,2021-07-28,1,0.85,0.15,17.6471
ACGL,2021-03-31,2021-04-27,0.59,0.45,0.14,31.1111
ACGL,2020-12-31,2021-02-09,0.56,0.38,0.18,47.3684
ACGL,2020-09-30,2020-10-29,0.29,0.16,0.13,81.25
ACGL,2020-06-30,2020-07-29,0.04,-0.23,0.27,117.3913
