Year,Quarter,Symbol,Company Name,Earnings Release Date
2020,Q1,A,,18-02-20
2020,Q2,A,,21-05-20
2020,Q3,A,,18-08-20
2020,Q4,A,,23-11-20
2021,Q1,A,,16-02-21
2021,Q2,A,,25-05-21
2021,Q3,A,,17-08-21
2021,Q4,A,,22-11-21
2022,Q1,A,,22-02-22
2022,Q2,A,,24-05-22
2022,Q3,A,,16-08-22
2022,Q4,A,,21-11-22
2023,Q1,A,,28-02-23
2023,Q2,A,,23-05-23
2023,Q3,A,,15-08-23
2023,Q4,A,,20-11-23
2024,Q1,A,,27-02-24
2024,Q2,A,,29-05-24
2024,Q3,A,,21-08-24
2024,Q4,A,,25-11-24
2025,Q1,A,,26-02-25
2025,Q2,A,,28-05-25
2025,Q3,A,,27-08-25
2025,Q4,A,,24-11-25
2020,Q1,AAPL,Apple Inc.,28-01-20
2020,Q2,AAPL,Apple Inc.,30-04-20
2020,Q3,AAPL,Apple Inc.,30-07-20
2020,Q4,AAPL,Apple Inc.,29-10-20
2021,Q1,AAPL,Apple Inc.,27-01-21
2021,Q2,AAPL,Apple Inc.,28-04-21
2021,Q3,AAPL,Apple Inc.,27-07-21
2021,Q4,AAPL,Apple Inc.,28-10-21
2022,Q1,AAPL,Apple Inc.,27-01-22
2022,Q2,AAPL,Apple Inc.,28-04-22
2022,Q3,AAPL,Apple Inc.,28-07-22
2022,Q4,AAPL,Apple Inc.,27-10-22
2023,Q1,AAPL,Apple Inc.,02-02-23
2023,Q2,AAPL,Apple Inc.,04-05-23
2023,Q3,AAPL,Apple Inc.,03-08-23
2023,Q4,AAPL,Apple Inc.,02-11-23
2024,Q1,AAPL,Apple Inc.,01-02-24
2024,Q2,AAPL,Apple Inc.,02-05-24
2024,Q3,AAPL,Apple Inc.,01-08-24
2024,Q4,AAPL,Apple Inc.,31-10-24
2025,Q1,AAPL,Apple Inc.,30-01-25
2025,Q2,AAPL,Apple Inc.,01-05-25
2025,Q3,AAPL,Apple Inc.,31-07-25
2025,Q4,AAPL,Apple Inc.,30-10-25
2020,Q1,ABBV,AbbVie Inc.,07-02-20
2020,Q2,ABBV,AbbVie Inc.,01-05-20
2020,Q3,ABBV,AbbVie Inc.,31-07-20
2020,Q4,ABBV,AbbVie Inc.,30-10-20
2021,Q1,ABBV,AbbVie Inc.,03-02-21
2021,Q2,ABBV,AbbVie Inc.,30-04-21
2021,Q3,ABBV,AbbVie Inc.,30-07-21
2021,Q4,ABBV,AbbVie Inc.,29-10-21
2022,Q1,ABBV,AbbVie Inc.,02-02-22
2022,Q2,ABBV,AbbVie Inc.,29-04-22
2022,Q3,ABBV,AbbVie Inc.,29-07-22
2022,Q4,ABBV,AbbVie Inc.,28-10-22
2023,Q1,ABBV,AbbVie Inc.,09-02-23
2023,Q2,ABBV,AbbVie Inc.,27-04-23
2023,Q3,ABBV,AbbVie Inc.,27-07-23
2023,Q4,ABBV,AbbVie Inc.,27-10-23
2024,Q1,ABBV,AbbVie Inc.,02-02-24
2024,Q2,ABBV,AbbVie Inc.,26-04-24
2024,Q3,ABBV,AbbVie Inc.,25-07-24
2024,Q4,ABBV,AbbVie Inc.,30-10-24
2025,Q1,ABBV,AbbVie Inc.,31-01-25
2025,Q2,ABBV,AbbVie Inc.,25-04-25
2025,Q3,ABBV,AbbVie Inc.,31-07-25
2025,Q4,ABBV,AbbVie Inc.,05-11-25
2020,Q1,ABT,Abbott Laboratories,22-01-20
2020,Q2,ABT,Abbott Laboratories,16-04-20
2020,Q3,ABT,Abbott Laboratories,16-07-20
2020,Q4,ABT,Abbott Laboratories,21-10-20
2021,Q1,ABT,Abbott Laboratories,27-01-21
2021,Q2,ABT,Abbott Laboratories,20-04-21
2021,Q3,ABT,Abbott Laboratories,22-07-21
2021,Q4,ABT,Abbott Laboratories,20-10-21
2022,Q1,ABT,Abbott Laboratories,26-01-22
2022,Q2,ABT,Abbott Laboratories,20-04-22
2022,Q3,ABT,Abbott Laboratories,20-07-22
2022,Q4,ABT,Abbott Laboratories,19-10-22
2023,Q1,ABT,Abbott Laboratories,25-01-23
2023,Q2,ABT,Abbott Laboratories,19-04-23
2023,Q3,ABT,Abbott Laboratories,20-07-23
2023,Q4,ABT,Abbott Laboratories,18-10-23
2024,Q1,ABT,Abbott Laboratories,24-01-24
2024,Q2,ABT,Abbott Laboratories,17-04-24
2024,Q3,ABT,Abbott Laboratories,18-07-24
2024,Q4,ABT,Abbott Laboratories,16-10-24
2025,Q1,ABT,Abbott Laboratories,22-01-25
2025,Q2,ABT,Abbott Laboratories,16-04-25
2025,Q3,ABT,Abbott Laboratories,17-07-25
2025,Q4,ABT,Abbott Laboratories,15-10-25
2020,Q1,ACGL,Arch Capital Group Ltd.,11-02-20
2020,Q2,ACGL,Arch Capital Group Ltd.,04-05-20
2020,Q3,ACGL,Arch Capital Group Ltd.,29-07-20
2020,Q4,ACGL,Arch Capital Group Ltd.,29-10-20
2021,Q1,ACGL,Arch Capital Group Ltd.,09-02-21
2021,Q2,ACGL,Arch Capital Group Ltd.,27-04-21
2021,Q3,ACGL,Arch Capital Group Ltd.,28-07-21
2021,Q4,ACGL,Arch Capital Group Ltd.,27-10-21
2022,Q1,ACGL,Arch Capital Group Ltd.,09-02-22
2022,Q2,ACGL,Arch Capital Group Ltd.,27-04-22
2022,Q3,ACGL,Arch Capital Group Ltd.,27-07-22
2022,Q4,ACGL,Arch Capital Group Ltd.,26-10-22
2023,Q1,ACGL,Arch Capital Group Ltd.,13-02-23
2023,Q2,ACGL,Arch Capital Group Ltd.,26-04-23
2023,Q3,ACGL,Arch Capital Group Ltd.,26-07-23
2023,Q4,ACGL,Arch Capital Group Ltd.,30-10-23
2024,Q1,ACGL,Arch Capital Group Ltd.,14-02-24
2024,Q2,ACGL,Arch Capital Group Ltd.,29-04-24
2024,Q3,ACGL,Arch Capital Group Ltd.,30-07-24
2024,Q4,ACGL,Arch Capital Group Ltd.,30-10-24
2025,Q1,ACGL,Arch Capital Group Ltd.,10-02-25
2025,Q2,ACGL,Arch Capital Group Ltd.,29-04-25
2025,Q3,ACGL,Arch Capital Group Ltd.,29-07-25
2025,Q4,ACGL,Arch Capital Group Ltd.,27-10-25
2020,Q1,ACN,Accenture plc,19-03-20
2020,Q2,ACN,Accenture plc,25-06-20
2020,Q3,ACN,Accenture plc,24-09-20
2020,Q4,ACN,Accenture plc,17-12-20
2021,Q1,ACN,Accenture plc,18-03-21
2021,Q2,ACN,Accenture plc,24-06-21
2021,Q3,ACN,Accenture plc,23-09-21
2021,Q4,ACN,Accenture plc,16-12-21
2022,Q1,ACN,Accenture plc,17-03-22
2022,Q2,ACN,Accenture plc,23-06-22
2022,Q3,ACN,Accenture plc,22-09-22
2022,Q4,ACN,Accenture plc,16-12-22
2023,Q1,ACN,Accenture plc,23-03-23
2023,Q2,ACN,Accenture plc,22-06-23
2023,Q3,ACN,Accenture plc,28-09-23
2023,Q4,ACN,Accenture plc,19-12-23
2024,Q1,ACN,Accenture plc,21-03-24
2024,Q2,ACN,Accenture plc,20-06-24
2024,Q3,ACN,Accenture plc,26-09-24
2024,Q4,ACN,Accenture plc,19-12-24
2025,Q1,ACN,Accenture plc,20-03-25
2025,Q2,ACN,Accenture plc,20-06-25
2025,Q3,ACN,Accenture plc,25-09-25
2025,Q4,ACN,Accenture plc,Missing
2020,Q1,ADBE,Adobe Inc.,12-03-20
2020,Q2,ADBE,Adobe Inc.,11-06-20
2020,Q3,ADBE,Adobe Inc.,15-09-20
2020,Q4,ADBE,Adobe Inc.,10-12-20
2021,Q1,ADBE,Adobe Inc.,23-03-21
2021,Q2,ADBE,Adobe Inc.,17-06-21
2021,Q3,ADBE,Adobe Inc.,21-09-21
2021,Q4,ADBE,Adobe Inc.,16-12-21
2022,Q1,ADBE,Adobe Inc.,22-03-22
2022,Q2,ADBE,Adobe Inc.,16-06-22
2022,Q3,ADBE,Adobe Inc.,15-09-22
2022,Q4,ADBE,Adobe Inc.,15-12-22
2023,Q1,ADBE,Adobe Inc.,15-03-23
2023,Q2,ADBE,Adobe Inc.,15-06-23
2023,Q3,ADBE,Adobe Inc.,14-09-23
2023,Q4,ADBE,Adobe Inc.,13-12-23
2024,Q1,ADBE,Adobe Inc.,14-03-24
2024,Q2,ADBE,Adobe Inc.,13-06-24
2024,Q3,ADBE,Adobe Inc.,12-09-24
2024,Q4,ADBE,Adobe Inc.,11-12-24
2025,Q1,ADBE,Adobe Inc.,12-03-25
2025,Q2,ADBE,Adobe Inc.,12-06-25
2025,Q3,ADBE,Adobe Inc.,11-09-25
2025,Q4,ADBE,Adobe Inc.,10-12-25
2020,Q1,ADI,,19-02-20
2020,Q2,ADI,,20-05-20
2020,Q3,ADI,,19-08-20
2020,Q4,ADI,,24-11-20
2021,Q1,ADI,,17-02-21
2021,Q2,ADI,,19-05-21
2021,Q3,ADI,,18-08-21
2021,Q4,ADI,,23-11-21
2022,Q1,ADI,,16-02-22
2022,Q2,ADI,,18-05-22
2022,Q3,ADI,,17-08-22
2022,Q4,ADI,,22-11-22
2023,Q1,ADI,,15-02-23
2023,Q2,ADI,,24-05-23
2023,Q3,ADI,,23-08-23
2023,Q4,ADI,,21-11-23
2024,Q1,ADI,,21-02-24
2024,Q2,ADI,,22-05-24
2024,Q3,ADI,,21-08-24
2024,Q4,ADI,,26-11-24
2025,Q1,ADI,,19-02-25
2025,Q2,ADI,,22-05-25
2025,Q3,ADI,,20-08-25
2025,Q4,ADI,,25-11-25
2020,Q1,ADM,Archer-Daniels-Midland Company,29-01-20
2020,Q2,ADM,Archer-Daniels-Midland Company,29-04-20
2020,Q3,ADM,Archer-Daniels-Midland Company,29-07-20
2020,Q4,ADM,Archer-Daniels-Midland Company,29-10-20
2021,Q1,ADM,Archer-Daniels-Midland Company,26-01-21
2021,Q2,ADM,Archer-Daniels-Midland Company,27-04-21
2021,Q3,ADM,Archer-Daniels-Midland Company,27-07-21
2021,Q4,ADM,Archer-Daniels-Midland Company,26-10-21
2022,Q1,ADM,Archer-Daniels-Midland Company,25-01-22
2022,Q2,ADM,Archer-Daniels-Midland Company,26-04-22
2022,Q3,ADM,Archer-Daniels-Midland Company,26-07-22
2022,Q4,ADM,Archer-Daniels-Midland Company,25-10-22
2023,Q1,ADM,Archer-Daniels-Midland Company,26-01-23
2023,Q2,ADM,Archer-Daniels-Midland Company,25-04-23
2023,Q3,ADM,Archer-Daniels-Midland Company,25-07-23
2023,Q4,ADM,Archer-Daniels-Midland Company,24-10-23
2024,Q1,ADM,Archer-Daniels-Midland Company,12-03-24
2024,Q2,ADM,Archer-Daniels-Midland Company,30-04-24
2024,Q3,ADM,Archer-Daniels-Midland Company,30-07-24
2024,Q4,ADM,Archer-Daniels-Midland Company,18-11-24
2025,Q1,ADM,Archer-Daniels-Midland Company,04-02-25
2025,Q2,ADM,Archer-Daniels-Midland Company,06-05-25
2025,Q3,ADM,Archer-Daniels-Midland Company,05-08-25
2025,Q4,ADM,Archer-Daniels-Midland Company,29-10-25
2020,Q1,ADP,,29-01-20
2020,Q2,ADP,,29-04-20
2020,Q3,ADP,,29-07-20
2020,Q4,ADP,,28-10-20
2021,Q1,ADP,,27-01-21
2021,Q2,ADP,,28-04-21
2021,Q3,ADP,,28-07-21
2021,Q4,ADP,,27-10-21
2022,Q1,ADP,,26-01-22
2022,Q2,ADP,,27-04-22
2022,Q3,ADP,,27-07-22
2022,Q4,ADP,,26-10-22
2023,Q1,ADP,,25-01-23
2023,Q2,ADP,,26-04-23
2023,Q3,ADP,,26-07-23
2023,Q4,ADP,,25-10-23
2024,Q1,ADP,,31-01-24
2024,Q2,ADP,,01-05-24
2024,Q3,ADP,,31-07-24
2024,Q4,ADP,,30-10-24
2025,Q1,ADP,,29-01-25
2025,Q2,ADP,,30-04-25
2025,Q3,ADP,,30-07-25
2025,Q4,ADP,,29-10-25
2020,Q1,ADSK,"Autodesk, Inc.",27-02-20
2020,Q2,ADSK,"Autodesk, Inc.",27-05-20
2020,Q3,ADSK,"Autodesk, Inc.",25-08-20
2020,Q4,ADSK,"Autodesk, Inc.",24-11-20
2021,Q1,ADSK,"Autodesk, Inc.",25-02-21
2021,Q2,ADSK,"Autodesk, Inc.",27-05-21
2021,Q3,ADSK,"Autodesk, Inc.",25-08-21
2021,Q4,ADSK,"Autodesk, Inc.",23-11-21
2022,Q1,ADSK,"Autodesk, Inc.",24-02-22
2022,Q2,ADSK,"Autodesk, Inc.",26-05-22
2022,Q3,ADSK,"Autodesk, Inc.",24-08-22
2022,Q4,ADSK,"Autodesk, Inc.",22-11-22
2023,Q1,ADSK,"Autodesk, Inc.",23-02-23
2023,Q2,ADSK,"Autodesk, Inc.",25-05-23
2023,Q3,ADSK,"Autodesk, Inc.",23-08-23
2023,Q4,ADSK,"Autodesk, Inc.",21-11-23
2024,Q1,ADSK,"Autodesk, Inc.",29-02-24
2024,Q2,ADSK,"Autodesk, Inc.",10-06-24
2024,Q3,ADSK,"Autodesk, Inc.",29-08-24
2024,Q4,ADSK,"Autodesk, Inc.",26-11-24
2025,Q1,ADSK,"Autodesk, Inc.",27-02-25
2025,Q2,ADSK,"Autodesk, Inc.",22-05-25
2025,Q3,ADSK,"Autodesk, Inc.",28-08-25
2025,Q4,ADSK,"Autodesk, Inc.",25-11-25
2020,Q1,AEE,,26-02-20
2020,Q2,AEE,,11-05-20
2020,Q3,AEE,,06-08-20
2020,Q4,AEE,,04-11-20
2021,Q1,AEE,,18-02-21
2021,Q2,AEE,,10-05-21
2021,Q3,AEE,,05-08-21
2021,Q4,AEE,,03-11-21
2022,Q1,AEE,,17-02-22
2022,Q2,AEE,,05-05-22
2022,Q3,AEE,,04-08-22
2022,Q4,AEE,,03-11-22
2023,Q1,AEE,,15-02-23
2023,Q2,AEE,,04-05-23
2023,Q3,AEE,,02-08-23
2023,Q4,AEE,,08-11-23
2024,Q1,AEE,,22-02-24
2024,Q2,AEE,,02-05-24
2024,Q3,AEE,,01-08-24
2024,Q4,AEE,,06-11-24
2025,Q1,AEE,,13-02-25
2025,Q2,AEE,,01-05-25
2025,Q3,AEE,,31-07-25
2025,Q4,AEE,,05-11-25
2020,Q1,AEP,,20-02-20
2020,Q2,AEP,,06-05-20
2020,Q3,AEP,,06-08-20
2020,Q4,AEP,,22-10-20
2021,Q1,AEP,,25-02-21
2021,Q2,AEP,,22-04-21
2021,Q3,AEP,,22-07-21
2021,Q4,AEP,,28-10-21
2022,Q1,AEP,,24-02-22
2022,Q2,AEP,,28-04-22
2022,Q3,AEP,,27-07-22
2022,Q4,AEP,,27-10-22
2023,Q1,AEP,,23-02-23
2023,Q2,AEP,,04-05-23
2023,Q3,AEP,,27-07-23
2023,Q4,AEP,,02-11-23
2024,Q1,AEP,,26-02-24
2024,Q2,AEP,,30-04-24
2024,Q3,AEP,,30-07-24
2024,Q4,AEP,,06-11-24
2025,Q1,AEP,,13-02-25
2025,Q2,AEP,,06-05-25
2025,Q3,AEP,,30-07-25
2025,Q4,AEP,,13-11-25
2020,Q1,AES,The AES Corporation,28-02-20
2020,Q2,AES,The AES Corporation,07-05-20
2020,Q3,AES,The AES Corporation,06-08-20
2020,Q4,AES,The AES Corporation,06-11-20
2021,Q1,AES,The AES Corporation,25-02-21
2021,Q2,AES,The AES Corporation,06-05-21
2021,Q3,AES,The AES Corporation,04-08-21
2021,Q4,AES,The AES Corporation,03-11-21
2022,Q1,AES,The AES Corporation,24-02-22
2022,Q2,AES,The AES Corporation,05-05-22
2022,Q3,AES,The AES Corporation,04-08-22
2022,Q4,AES,The AES Corporation,04-11-22
2023,Q1,AES,The AES Corporation,27-02-23
2023,Q2,AES,The AES Corporation,04-05-23
2023,Q3,AES,The AES Corporation,03-08-23
2023,Q4,AES,The AES Corporation,02-11-23
2024,Q1,AES,The AES Corporation,26-02-24
2024,Q2,AES,The AES Corporation,02-05-24
2024,Q3,AES,The AES Corporation,01-08-24
2024,Q4,AES,The AES Corporation,31-10-24
2025,Q1,AES,The AES Corporation,28-02-25
2025,Q2,AES,The AES Corporation,01-05-25
2025,Q3,AES,The AES Corporation,31-07-25
2025,Q4,AES,The AES Corporation,06-11-25
2020,Q1,AIG,American International Group,13-02-20
2020,Q2,AIG,American International Group,04-05-20
2020,Q3,AIG,American International Group,03-08-20
2020,Q4,AIG,American International Group,05-11-20
2021,Q1,AIG,American International Group,16-02-21
2021,Q2,AIG,American International Group,06-05-21
2021,Q3,AIG,American International Group,05-08-21
2021,Q4,AIG,American International Group,04-11-21
2022,Q1,AIG,American International Group,16-02-22
2022,Q2,AIG,American International Group,03-05-22
2022,Q3,AIG,American International Group,08-08-22
2022,Q4,AIG,American International Group,01-11-22
2023,Q1,AIG,American International Group,15-02-23
2023,Q2,AIG,American International Group,04-05-23
2023,Q3,AIG,American International Group,01-08-23
2023,Q4,AIG,American International Group,01-11-23
2024,Q1,AIG,American International Group,13-02-24
2024,Q2,AIG,American International Group,01-05-24
2024,Q3,AIG,American International Group,31-07-24
2024,Q4,AIG,American International Group,04-11-24
2025,Q1,AIG,American International Group,11-02-25
2025,Q2,AIG,American International Group,01-05-25
2025,Q3,AIG,American International Group,06-08-25
2025,Q4,AIG,American International Group,04-11-25
2020,Q1,AIZ,,11-02-20
