,sector,sub_sector
A,Healthcare,Diagnostics & Research
AAPL,Technology,Consumer Electronics
ABBV,Healthcare,Drug Manufacturers - General
ABT,Healthcare,Medical Devices
ACGL,Financial Services,Insurance - Diversified
ACN,Technology,Information Technology Services
ADBE,Technology,Software - Application
ADI,Technology,Semiconductors
ADM,Consumer Defensive,Farm Products
ADP,Technology,Software - Application
ADSK,Technology,Software - Application
AEE,Utilities,Utilities - Regulated Electric
AEP,Utilities,Utilities - Regulated Electric
AES,Utilities,Utilities - Diversified
AIG,Financial Services,Insurance - Diversified
AIZ,Financial Services,Insurance - Property & Casualty
AKAM,Technology,Software - Infrastructure
ALB,Basic Materials,Specialty Chemicals
ALGN,Healthcare,Medical Instruments & Supplies
ALK,Industrials,Airlines
ALLE,Industrials,Security & Protection Services
AMAT,Technology,Semiconductor Equipment & Materials
AMD,Technology,Semiconductors
AME,Industrials,Specialty Industrial Machinery
AMGN,Healthcare,Drug Manufacturers - General
AMP,Financial Services,Asset Management
AMT,Real Estate,REIT - Specialty
AMZN,Consumer Cyclical,Internet Retail
ANET,Technology,Computer Hardware
ANSS,,
AOS,Industrials,Specialty Industrial Machinery
APD,Basic Materials,Specialty Chemicals
APH,Technology,Electronic Components
APTV,Consumer Cyclical,Auto Parts
ARE,Real Estate,REIT - Office
ATO,Utilities,Utilities - Regulated Gas
AVB,Real Estate,REIT - Residential
AVGO,Technology,Semiconductors
AVY,Consumer Cyclical,Packaging & Containers
AWK,Utilities,Utilities - Regulated Water
AXON,Industrials,Aerospace & Defense
AZO,Consumer Cyclical,Auto Parts
B,Basic Materials,Gold
BA,Industrials,Aerospace & Defense
BAC,Financial Services,Banks - Diversified
BBY,Consumer Cyclical,Specialty Retail
BDX,Healthcare,Medical Instruments & Supplies
BIIB,Healthcare,Drug Manufacturers - General
BK,Financial Services,Banks - Diversified
BKNG,Consumer Cyclical,Travel Services
BKR,Energy,Oil & Gas Equipment & Services
BLK,Financial Services,Asset Management
BMY,Healthcare,Drug Manufacturers - General
BR,Technology,Information Technology Services
BRO,Financial Services,Insurance Brokers
BSX,Healthcare,Medical Devices
BWA,Consumer Cyclical,Auto Parts
BXP,Real Estate,REIT - Office
C,Financial Services,Banks - Diversified
CAG,Consumer Defensive,Packaged Foods
CAT,Industrials,Farm & Heavy Construction Machinery
CB,Financial Services,Insurance - Property & Casualty
CBOE,Financial Services,Financial Data & Stock Exchanges
CBRE,Real Estate,Real Estate Services
CCI,Real Estate,REIT - Specialty
CCL,Consumer Cyclical,Travel Services
CDNS,Technology,Software - Application
CDW,Technology,Information Technology Services
CE,Basic Materials,Chemicals
CF,Basic Materials,Agricultural Inputs
CFG,Financial Services,Banks - Regional
CHRW,Industrials,Integrated Freight & Logistics
CHTR,Communication Services,Telecom Services
CI,Healthcare,Healthcare Plans
CL,Consumer Defensive,Household & Personal Products
CMA,Financial Services,Banks - Regional
CMCSA,Communication Services,Telecom Services
CME,Financial Services,Financial Data & Stock Exchanges
CMG,Consumer Cyclical,Restaurants
CMI,Industrials,Specialty Industrial Machinery
CMS,Utilities,Utilities - Regulated Electric
CNC,Healthcare,Healthcare Plans
CNP,Utilities,Utilities - Regulated Electric
COO,Healthcare,Medical Instruments & Supplies
COP,Energy,Oil & Gas E&P
COST,Consumer Defensive,Discount Stores
CPB,Consumer Defensive,Packaged Foods
CRL,Healthcare,Diagnostics & Research
CRM,Technology,Software - Application
CSCO,Technology,Communication Equipment
CSX,Industrials,Railroads
CTAS,Industrials,Specialty Business Services
CTLT,,
CTRA,Energy,Oil & Gas E&P
CTSH,Technology,Information Technology Services
CTVA,Basic Materials,Agricultural Inputs
CVS,Healthcare,Healthcare Plans
CVX,Energy,Oil & Gas Integrated
CZR,Consumer Cyclical,Resorts & Casinos
D,Utilities,Utilities - Regulated Electric
DAL,Industrials,Airlines
DD,Basic Materials,Specialty Chemicals
DFS,,
DG,Consumer Defensive,Discount Stores
DGX,Healthcare,Diagnostics & Research
DHI,Consumer Cyclical,Residential Construction
DHR,Healthcare,Diagnostics & Research
DIS,Communication Services,Entertainment
DLTR,Consumer Defensive,Discount Stores
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DPZ,Consumer Cyclical,Restaurants
DTE,Utilities,Utilities - Regulated Electric
DUK,Utilities,Utilities - Regulated Electric
DVA,Healthcare,Medical Care Facilities
DVN,Energy,Oil & Gas E&P
DXCM,Healthcare,Medical Devices
EA,Communication Services,Electronic Gaming & Multimedia
EBAY,Consumer Cyclical,Internet Retail
ECL,Basic Materials,Specialty Chemicals
EFX,Industrials,Consulting Services
EIX,Utilities,Utilities - Regulated Electric
EL,Consumer Defensive,Household & Personal Products
ELV,Healthcare,Healthcare Plans
EMN,Basic Materials,Specialty Chemicals
EMR,Industrials,Specialty Industrial Machinery
ENPH,Technology,Solar
EOG,Energy,Oil & Gas E&P
EPAM,Technology,Information Technology Services
EQIX,Real Estate,REIT - Specialty
EQR,Real Estate,REIT - Residential
EQT,Energy,Oil & Gas E&P
